"技能id","技能名","技能定位","技能类型","图标编号","消耗1属性编号","消耗系数a1","消耗系数b1","显示消耗1","消耗2属性编号","消耗系数a2","消耗系数b2","显示消耗2","目标类型","战斗内外使用","魔法入口","技能剧情描述","技能描述","排序","技能描述1","技能描述2","技能描述3","技能描述4","技能描述5","技能描述6","技能描述7","技能升级描述","技能升级描述1","技能升级描述2","技能升级描述3","技能升级描述4","技能升级描述5","技能升级描述6","技能升级描述7","技能等级1","技能等级2","技能等级3","技能等级4","技能等级5","技能等级6","技能等级7"
"162007","杀戮盛筵","杀戮盛筵","盗贼史诗技能，给敌人沉痛的最后一击，干脆利落、不给对手任何喘息的机会。“稍纵即逝的寒光闪过，缤纷的血花漫天绽放”","330","120","0","120","消耗：$parameter1$愤怒","-1","0","0",,"480","1",,"盗贼史诗技能，给敌人沉痛的最后一击，干脆利落、不给对手任何喘息的机会。“稍纵即逝的寒光闪过，缤纷的血花漫天绽放”","对敌方单位随机发动7连击，除首目标外每下独立随机目标，伤害系数为正常伤害的50%，每消耗一颗星追加两次连击，最多使用3个连击点，使用后虚弱休息1回合，虚弱休息状态下双防降低","8","对敌方单位随机发动7连击，除首目标外每下独立随机目标，伤害系数为正常伤害的50%，每消耗一颗星追加两次连击，最多使用3个连击点，使用后虚弱休息1回合，虚弱休息状态下双防降低","对敌方单位随机发动7连击，除首目标外每下独立随机目标，伤害系数为正常伤害的50%，每消耗一颗星追加两次连击，最多使用3个连击点，使用后虚弱休息1回合，虚弱休息状态下双防降低","对敌方单位随机发动7连击，除首目标外每下独立随机目标，伤害系数为正常伤害的50%，每消耗一颗星追加两次连击，最多使用3个连击点，使用后虚弱休息1回合，虚弱休息状态下双防降低","对敌方单位随机发动7连击，除首目标外每下独立随机目标，伤害系数为正常伤害的50%，每消耗一颗星追加两次连击，最多使用3个连击点，使用后虚弱休息1回合，虚弱休息状态下双防降低","对敌方单位随机发动7连击，除首目标外每下独立随机目标，伤害系数为正常伤害的50%，每消耗一颗星追加两次连击，最多使用3个连击点，使用后虚弱休息1回合，虚弱休息状态下双防降低","对敌方单位随机发动7连击，除首目标外每下独立随机目标，伤害系数为正常伤害的50%，每消耗一颗星追加两次连击，最多使用3个连击点，使用后虚弱休息1回合，虚弱休息状态下双防降低","对敌方单位随机发动7连击，除首目标外每下独立随机目标，伤害系数为正常伤害的50%，每消耗一颗星追加两次连击，最多使用3个连击点，使用后虚弱休息1回合，虚弱休息状态下双防降低","每次攻击造成50%伤害","每次攻击造成55%伤害","每次攻击造成60%伤害","每次攻击造成65%伤害","每次攻击造成65%伤害","每次攻击造成65%伤害","每次攻击造成65%伤害","每次攻击造成65%伤害","1","2","3","4","5","6","7"
"163000","恶魔学识","恶魔学识","对于恶魔的长期研究使术士掌握了很多驾驭恶魔的技巧。","331","-1","0","0","无消耗","-1","0","0",,"1","1",,"对于恶魔的长期研究使术士掌握了很多驾驭恶魔的技巧。","术士基础技能","1","术士基础技能","术士基础技能","术士基础技能","术士基础技能","术士基础技能","术士基础技能","术士基础技能","永久增加主角的控制命中","永久增加主角的控制命中","永久增加主角的控制命中","永久增加主角的控制命中","永久增加主角的控制命中","永久增加主角的控制命中","永久增加主角的控制命中","永久增加主角的控制命中","1","200","200","200","200","200","200"
"163001","火焰之雨","火焰之雨","术士可以召唤大量的火陨石以压倒性的优势干掉敌人。","332","100","2","10","消耗：$parameter1$魔法","-1","0","0",,"480","1",,"术士可以召唤大量的火陨石以压倒性的优势干掉敌人。","法术攻击多个目标，概率对首目标附加沉默效果，沉默状态下无法释放职业技能，持续3回合。","2","法术攻击多个目标，概率对首目标附加沉默效果，沉默状态下无法释放职业技能，持续3回合。","法术攻击多个目标，概率对首目标附加沉默效果，沉默状态下无法释放职业技能，持续3回合。","法术攻击多个目标，概率对首目标附加沉默效果，沉默状态下无法释放职业技能，持续3回合。","法术攻击多个目标，概率对首目标附加沉默效果，沉默状态下无法释放职业技能，持续3回合。","法术攻击多个目标，概率对首目标附加沉默效果，沉默状态下无法释放职业技能，持续3回合。","法术攻击多个目标，概率对首目标附加沉默效果，沉默状态下无法释放职业技能，持续3回合。","法术攻击多个目标，概率对首目标附加沉默效果，沉默状态下无法释放职业技能，持续3回合。","增加使用时的伤害，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","增加使用时的伤害，60级可攻击4个目标，70级可攻击5个目标，90级可攻击6个目标","1","200","200","200","200","200","200"
"163002","沉默诅咒","沉默诅咒","术士掌握很多古老而神秘的魔法，这些小手段让他们在战斗中占尽了先机。","333","100","2","10","消耗：$parameter1$魔法","-1","0","0",,"480","1",,"术士掌握很多古老而神秘的魔法，这些小手段让他们在战斗中占尽了先机。","概率使目标沉默，并降低目标双防，沉默状态下无法释放职业技能","3","概率使目标沉默，并降低目标双防，沉默状态下无法释放职业技能","概率使目标沉默，并降低目标双防，沉默状态下无法释放职业技能","概率使目标沉默，并降低目标双防，沉默状态下无法释放职业技能","概率使目标沉默，并降低目标双防，沉默状态下无法释放职业技能","概率使目标沉默，并降低目标双防，沉默状态下无法释放职业技能","概率使目标沉默，并降低目标双防，沉默状态下无法释放职业技能","概率使目标沉默，并降低目标双防，沉默状态下无法释放职业技能","增加降低双防效果，60级可控制4回合。","增加降低双防效果，60级可控制4回合。","增加降低双防效果，60级可控制4回合。","增加降低双防效果，60级可控制4回合。","增加降低双防效果，60级可控制4回合。","增加降低双防效果，60级可控制4回合。","增加降低双防效果，60级可控制4回合。","增加降低双防效果，60级可控制4回合。","1","200","200","200","200","200","200"
"163003","生命虹吸","生命虹吸","利用恶魔之力吸取敌人的生命力继而作为自己战斗中的补给。","334","100","2","10","消耗：$parameter1$魔法","-1","0","0",,"480","1",,"利用恶魔之力吸取敌人的生命力继而作为自己战斗中的补给。","魔法攻击敌人，吸取魔法伤害给自己回复对应量的生命，并使目标中毒。","4","魔法攻击敌人，吸取魔法伤害给自己回复对应量的生命，并使目标中毒。","魔法攻击敌人，吸取魔法伤害给自己回复对应量的生命，并使目标中毒。","魔法攻击敌人，吸取魔法伤害给自己回复对应量的生命，并使目标中毒。","魔法攻击敌人，吸取魔法伤害给自己回复对应量的生命，并使目标中毒。","魔法攻击敌人，吸取魔法伤害给自己回复对应量的生命，并使目标中毒。","魔法攻击敌人，吸取魔法伤害给自己回复对应量的生命，并使目标中毒。","魔法攻击敌人，吸取魔法伤害给自己回复对应量的生命，并使目标中毒。","增加使用时的伤害和吸血效果，永久增加主角的速度","增加使用时的伤害和吸血效果，永久增加主角的速度","增加使用时的伤害和吸血效果，永久增加主角的速度","增加使用时的伤害和吸血效果，永久增加主角的速度","增加使用时的伤害和吸血效果，永久增加主角的速度","增加使用时的伤害和吸血效果，永久增加主角的速度","增加使用时的伤害和吸血效果，永久增加主角的速度","增加使用时的伤害和吸血效果，永久增加主角的速度","1","200","200","200","200","200","200"
"163004","恶魔降临","恶魔降临","术士可以轻松控制敌人的内心，让他们陷入极度崩溃的状态。","335","100","2","10","消耗：$parameter1$魔法","-1","0","0",,"480","1",,"术士可以轻松控制敌人的内心，让他们陷入极度崩溃的状态。","感召目标，使其进入恐惧状态，恐惧状态下有概率攻击友方，持续3回合","5","感召目标，使其进入恐惧状态，恐惧状态下有概率攻击友方，持续3回合","感召目标，使其进入恐惧状态，恐惧状态下有概率攻击友方，持续3回合","感召目标，使其进入恐惧状态，恐惧状态下有概率攻击友方，持续3回合","感召目标，使其进入恐惧状态，恐惧状态下有概率攻击友方，持续3回合","感召目标，使其进入恐惧状态，恐惧状态下有概率攻击友方，持续3回合","感召目标，使其进入恐惧状态，恐惧状态下有概率攻击友方，持续3回合","感召目标，使其进入恐惧状态，恐惧状态下有概率攻击友方，持续3回合","永久增加主角的控制抗性","永久增加主角的控制抗性","永久增加主角的控制抗性","永久增加主角的控制抗性","永久增加主角的控制抗性","永久增加主角的控制抗性","永久增加主角的控制抗性","永久增加主角的控制抗性","1","200","200","200","200","200","200"
"163005","虚弱诅咒","虚弱诅咒","术士对于黑暗虚空的掌控不仅表现在单体作战，就算面对大量的敌人依然是游刃有余。","336","100","2","10","消耗：$parameter1$魔法","-1","0","0",,"480","1",,"术士对于黑暗虚空的掌控不仅表现在单体作战，就算面对大量的敌人依然是游刃有余。","战斗中降低敌方多人的法术防御","6","战斗中降低敌方多人的法术防御","战斗中降低敌方多人的法术防御","战斗中降低敌方多人的法术防御","战斗中降低敌方多人的法术防御","战斗中降低敌方多人的法术防御","战斗中降低敌方多人的法术防御","战斗中降低敌方多人的法术防御","增加使用效果，50级可作用5个目标，70级可作用6个目标，90级可作用7个目标。60级可持续5回合，90级可持续6回合。永久增加主角的物理防御","增加使用效果，50级可作用5个目标，70级可作用6个目标，90级可作用7个目标。60级可持续5回合，90级可持续6回合。永久增加主角的物理防御","增加使用效果，50级可作用5个目标，70级可作用6个目标，90级可作用7个目标。60级可持续5回合，90级可持续6回合。永久增加主角的物理防御","增加使用效果，50级可作用5个目标，70级可作用6个目标，90级可作用7个目标。60级可持续5回合，90级可持续6回合。永久增加主角的物理防御","增加使用效果，50级可作用5个目标，70级可作用6个目标，90级可作用7个目标。60级可持续5回合，90级可持续6回合。永久增加主角的物理防御","增加使用效果，50级可作用5个目标，70级可作用6个目标，90级可作用7个目标。60级可持续5回合，90级可持续6回合。永久增加主角的物理防御","增加使用效果，50级可作用5个目标，70级可作用6个目标，90级可作用7个目标。60级可持续5回合，90级可持续6回合。永久增加主角的物理防御","增加使用效果，50级可作用5个目标，70级可作用6个目标，90级可作用7个目标。60级可持续5回合，90级可持续6回合。永久增加主角的物理防御","1","200","200","200","200","200","200"
"163006","暗影之力","暗影之力","古尔丹将暗影之力注入头盔，使其附加物理防御","337","-1","0.667","6","消耗：$parameter1$活力","-1","0","0",,"1","1",,"古尔丹将暗影之力注入头盔，使其附加物理防御","制造一张附魔卷轴，该卷轴可给头盔增加物理防御","7","制造一张附魔卷轴，该卷轴可给头盔增加物理防御","制造一张附魔卷轴，该卷轴可给头盔增加物理防御","制造一张附魔卷轴，该卷轴可给头盔增加物理防御","制造一张附魔卷轴，该卷轴可给头盔增加物理防御","制造一张附魔卷轴，该卷轴可给头盔增加物理防御","制造一张附魔卷轴，该卷轴可给头盔增加物理防御","制造一张附魔卷轴，该卷轴可给头盔增加物理防御","增加附魔附加物理防御的效果","增加附魔附加物理防御的效果","增加附魔附加物理防御的效果","增加附魔附加物理防御的效果","增加附魔附加物理防御的效果","增加附魔附加物理防御的效果","增加附魔附加物理防御的效果","增加附魔附加物理防御的效果","1","200","200","200","200","200","200"
"163007","群魔乱舞","群魔乱舞","术士史诗技能，通过黑暗契约将大量邪恶的恶魔召唤进战场。“恐惧在咏唱悼词，邪恶已拥抱大地”","339","120","0","120","消耗：$parameter1$愤怒","-1","0","0",,"480","1",,"术士史诗技能，通过黑暗契约将大量邪恶的恶魔召唤进战场。“恐惧在咏唱悼词，邪恶已拥抱大地”","使用黑暗诅咒干扰敌方5个目标，并随机附加沉默、恐惧，首目标必中，宠物目标必中，其他目标为基础命中率的35%，使用后虚弱休息1回合，虚弱休息状态下双防降低。","8","使用黑暗诅咒干扰敌方5个目标，并随机附加沉默、恐惧，首目标必中，宠物目标必中，其他目标为基础命中率的35%，使用后虚弱休息1回合，虚弱休息状态下双防降低。","使用黑暗诅咒干扰敌方5个目标，并随机附加沉默、恐惧，首目标必中，宠物目标必中，其他目标为基础命中率的40%，使用后虚弱休息1回合，虚弱休息状态下双防降低。","使用黑暗诅咒干扰敌方5个目标，并随机附加沉默、恐惧，首目标必中，宠物目标必中，其他目标为基础命中率的45%，使用后虚弱休息1回合，虚弱休息状态下双防降低。","使用黑暗诅咒干扰敌方5个目标，并随机附加沉默、恐惧，首目标必中，宠物目标必中，其他目标为基础命中率的50%，使用后虚弱休息1回合，虚弱休息状态下双防降低。","使用黑暗诅咒干扰敌方5个目标，并随机附加沉默、恐惧，首目标必中，宠物目标必中，其他目标为基础命中率的50%，使用后虚弱休息1回合，虚弱休息状态下双防降低。","使用黑暗诅咒干扰敌方5个目标，并随机附加沉默、恐惧，首目标必中，宠物目标必中，其他目标为基础命中率的50%，使用后虚弱休息1回合，虚弱休息状态下双防降低。","使用黑暗诅咒干扰敌方5个目标，并随机附加沉默、恐惧，首目标必中，宠物目标必中，其他目标为基础命中率的50%，使用后虚弱休息1回合，虚弱休息状态下双防降低。","其他目标命中率为基础命中率的35%","其他目标命中率为基础命中率的40%","其他目标命中率为基础命中率的45%","其他目标命中率为基础命中率的50%","其他目标命中率为基础命中率的50%","其他目标命中率为基础命中率的50%","其他目标命中率为基础命中率的50%","其他目标命中率为基础命中率的50%","1","2","3","4","5","6","7"
"171006","新手剑刃风暴","绝技","战士史诗技能，快速的在战场上移动，随机多次攻击可见的敌方单位。“这片名为战场的天空之下，即是我的领地，擅闯者必诛之！”","162","120","0","0","消耗：$parameter1$愤怒","-1","0","0",,"480","1","","战士史诗技能，快速的在战场上移动，随机多次攻击可见的敌方单位。“这片名为战场的天空之下，即是我的领地，擅闯者必诛之！”","直接对目标发动5-9次攻击，自身生命越低攻击次数越多。伤害是普通攻击的50%，无法被防御和保护，使用后虚弱休息1回合，虚弱休息状态下双防降低。","8","直接对目标发动5-9次攻击，自身生命越低攻击次数越多。伤害是普通攻击的50%，无法被防御和保护，使用后虚弱休息1回合，虚弱休息状态下双防降低。","直接对目标发动5-9次攻击，自身生命越低攻击次数越多。伤害是普通攻击的50%，无法被防御和保护，使用后虚弱休息1回合，虚弱休息状态下双防降低。","直接对目标发动5-9次攻击，自身生命越低攻击次数越多。伤害是普通攻击的50%，无法被防御和保护，使用后虚弱休息1回合，虚弱休息状态下双防降低。","直接对目标发动5-9次攻击，自身生命越低攻击次数越多。伤害是普通攻击的50%，无法被防御和保护，使用后虚弱休息1回合，虚弱休息状态下双防降低。","直接对目标发动5-9次攻击，自身生命越低攻击次数越多。伤害是普通攻击的50%，无法被防御和保护，使用后虚弱休息1回合，虚弱休息状态下双防降低。","直接对目标发动5-9次攻击，自身生命越低攻击次数越多。伤害是普通攻击的50%，无法被防御和保护，使用后虚弱休息1回合，虚弱休息状态下双防降低。","直接对目标发动5-9次攻击，自身生命越低攻击次数越多。伤害是普通攻击的50%，无法被防御和保护，使用后虚弱休息1回合，虚弱休息状态下双防降低。","每次攻击造成50%伤害","每次攻击造成55%伤害","每次攻击造成60%伤害","每次攻击造成65%伤害","每次攻击造成65%伤害","每次攻击造成65%伤害","每次攻击造成65%伤害","每次攻击造成65%伤害","1","2","3","4","5","6","7"
"172006","新手律法圣盾","绝技","圣骑史诗技能，将神之盾则具现于周围，对所有队友进行守护。“此乃神定庇护，愿此身化作守护圣盾！”","341","120","0","0","消耗：$parameter1$愤怒","-1","0","0",,"4127","1","","圣骑史诗技能，将神之盾则具现于周围，对所有队友进行守护。“此乃神定庇护，愿此身化作守护圣盾！”","召唤守护圣盾庇护队友，使其免疫大部分的伤害，当己方队友少于对方时，自己也被守护，持续2回合。使用后虚弱休息1回合，虚弱休息状态下双防降低。","8","召唤守护圣盾庇护队友，使其免疫大部分的伤害，当己方队友少于对方时，可多守护一个队友，持续2回合。使用后虚弱休息1回合，虚弱休息状态下双防降低。","召唤守护圣盾庇护队友，使其免疫大部分的伤害，当己方队友少于对方时，可多守护一个队友，持续2回合。使用后虚弱休息1回合，虚弱休息状态下双防降低。","召唤守护圣盾庇护队友，使其免疫大部分的伤害，当己方队友少于对方时，可多守护一个队友，持续2回合。使用后虚弱休息1回合，虚弱休息状态下双防降低。","召唤守护圣盾庇护队友，使其免疫大部分的伤害，当己方队友少于对方时，可多守护一个队友，持续2回合。使用后虚弱休息1回合，虚弱休息状态下双防降低。","召唤守护圣盾庇护队友，使其免疫大部分的伤害，当己方队友少于对方时，可多守护一个队友，持续2回合。使用后虚弱休息1回合，虚弱休息状态下双防降低。","召唤守护圣盾庇护队友，使其免疫大部分的伤害，当己方队友少于对方时，可多守护一个队友，持续2回合。使用后虚弱休息1回合，虚弱休息状态下双防降低。","召唤守护圣盾庇护队友，使其免疫大部分的伤害，当己方队友少于对方时，可多守护一个队友，持续2回合。使用后虚弱休息1回合，虚弱休息状态下双防降低。","守护1个队友","守护2个队友","守护3个队友","守护4个队友","守护4个队友","守护4个队友","守护4个队友","守护4个队友","1","2","3","4","5","6","7"
"173006","新手美拉冲击","绝技","猎人史诗技能，猎人的最后底牌，老练的猎人会将它留到最危急的时候是一。“是时候掀开最后的底牌了，而这，将成为你们生命中所见的最后一击！”","302","120","0","0","消耗：$parameter1$愤怒","-1","0","0",,"480","1","","猎人史诗技能，猎人的最后底牌，老练的猎人会将它留到最危急的时候是一。“是时候掀开最后的底牌了，而这，将成为你们生命中所见的最后一击！”","利用奇美拉打击并眩晕目标，当己方队友少于对方时，打击目标数增加。使用后虚弱休息1回合，休息状态下双防降低。","7","利用奇美拉打击并眩晕目标，当己方队友少于对方时，打击目标数增加。使用后虚弱休息1回合，休息状态下双防降低。","利用奇美拉打击并眩晕目标，当己方队友少于对方时，打击目标数增加。使用后虚弱休息1回合，休息状态下双防降低。","利用奇美拉打击并眩晕目标，当己方队友少于对方时，打击目标数增加。使用后虚弱休息1回合，休息状态下双防降低。","利用奇美拉打击并眩晕目标，当己方队友少于对方时，打击目标数增加。使用后虚弱休息1回合，休息状态下双防降低。","利用奇美拉打击并眩晕目标，当己方队友少于对方时，打击目标数增加。使用后虚弱休息1回合，休息状态下双防降低。","利用奇美拉打击并眩晕目标，当己方队友少于对方时，打击目标数增加。使用后虚弱休息1回合，休息状态下双防降低。","利用奇美拉打击并眩晕目标，当己方队友少于对方时，打击目标数增加。使用后虚弱休息1回合，休息状态下双防降低。","最多打击2个目标","最多打击3个目标","最多打击4个目标","额外随机打击5个目标","额外随机打击5个目标","额外随机打击5个目标","额外随机打击5个目标","额外随机打击5个目标","1","2","3","4","5","6","7"
"174006","新手纠缠根须","绝技","德鲁伊史诗技能，将生命能量从敌人身边分离，从而使其周围化作末日死域。“从此，世界于其眼中一分为二，一边是鸟语花香之绿林，一边是万劫不复之地狱！”","309","120","0","0","消耗：$parameter1$愤怒","-1","0","0",,"480","1","","德鲁伊史诗技能，将生命能量从敌人身边分离，从而使其周围化作末日死域。“从此，世界于其眼中一分为二，一边是鸟语花香之绿林，一边是万劫不复之地狱！”","让敌方单位进入灵魂禁锢状态，使其4回合内无法被复活，并减少目标物理防御，对方魔法越少减少物防越多。pve对怪物额外造成大量伤害。使用后虚弱休息1回合，休息状态下双防降低。","8","让敌方单位进入灵魂禁锢状态，使其4回合内无法被复活，并减少目标物理防御，对方魔法越少减少物防越多。pve对怪物额外造成大量伤害。使用后虚弱休息1回合，休息状态下双防降低。","让敌方单位进入灵魂禁锢状态，使其4回合内无法被复活，并减少目标物理防御，对方魔法越少减少物防越多。pve对怪物额外造成大量伤害。使用后虚弱休息1回合，休息状态下双防降低。","让敌方单位进入灵魂禁锢状态，使其4回合内无法被复活，并减少目标物理防御，对方魔法越少减少物防越多。pve对怪物额外造成大量伤害。使用后虚弱休息1回合，休息状态下双防降低。","让敌方单位进入灵魂禁锢状态，使其4回合内无法被复活，并减少目标物理防御，对方魔法越少减少物防越多。pve对怪物额外造成大量伤害。使用后虚弱休息1回合，休息状态下双防降低。","让敌方单位进入灵魂禁锢状态，使其4回合内无法被复活，并减少目标物理防御，对方魔法越少减少物防越多。pve对怪物额外造成大量伤害。使用后虚弱休息1回合，休息状态下双防降低。","让敌方单位进入灵魂禁锢状态，使其4回合内无法被复活，并减少目标物理防御，对方魔法越少减少物防越多。pve对怪物额外造成大量伤害。使用后虚弱休息1回合，休息状态下双防降低。","让敌方单位进入灵魂禁锢状态，使其4回合内无法被复活，并减少目标物理防御，对方魔法越少减少物防越多。pve对怪物额外造成大量伤害。使用后虚弱休息1回合，休息状态下双防降低。","最高减少25%物防","最高减少30%物防","最高减少35%物防","最高减少40%物防","最高减少40%物防","最高减少40%物防","最高减少40%物防","最高减少40%物防","1","2","3","4","5","6","7"
"175006","新手虚空乱流","绝技","法师史诗技能，召唤虚空中狂乱的风暴，击溃敌人的意志和身躯。“如果位面不能教给你真理，也许痛苦可以！”","211","120","0","0","消耗：$parameter1$愤怒","-1","0","0",,"480","1","","法师史诗技能，召唤虚空中狂乱的风暴，击溃敌人的意志和身躯。“如果位面不能教给你真理，也许痛苦可以！”","对敌方7个单位造成极端法术伤害，目标剩余的魔法值越少，伤害越高，最高为暴风雪伤害的200%。使用后虚弱休息1回合，休息状态下双防降低。","8","对敌方7个单位造成极端法术伤害，目标剩余的魔法值越少，伤害越高，最高为暴风雪伤害的200%。使用后虚弱休息1回合，休息状态下双防降低。","对敌方7个单位造成极端法术伤害，目标剩余的魔法值越少，伤害越高，最高为暴风雪伤害的220%。使用后虚弱休息1回合，休息状态下双防降低。","对敌方7个单位造成极端法术伤害，目标剩余的魔法值越少，伤害越高，最高为暴风雪伤害的240%。使用后虚弱休息1回合，休息状态下双防降低。","对敌方7个单位造成极端法术伤害，目标剩余的魔法值越少，伤害越高，最高为暴风雪伤害的260%。使用后虚弱休息1回合，休息状态下双防降低。","对敌方7个单位造成极端法术伤害，目标剩余的魔法值越少，伤害越高，最高为暴风雪伤害的200%。使用后虚弱休息1回合，休息状态下双防降低。","对敌方7个单位造成极端法术伤害，目标剩余的魔法值越少，伤害越高，最高为暴风雪伤害的200%。使用后虚弱休息1回合，休息状态下双防降低。","对敌方7个单位造成极端法术伤害，目标剩余的魔法值越少，伤害越高，最高为暴风雪伤害的200%。使用后虚弱休息1回合，休息状态下双防降低。","最高为暴风雪伤害的200%","最高为暴风雪伤害的220%","最高为暴风雪伤害的240%","最高为暴风雪伤害的260%","最高为暴风雪伤害的260%","最高为暴风雪伤害的260%","最高为暴风雪伤害的260%","最高为暴风雪伤害的260%","1","2","3","4","5","6","7"
"176006","新手天定之国","绝技","牧师史诗技能，令神之意志降临凡世，将脚下的土地化为神国。“轻唤神名，我必允你为王！”","203","120","0","0","消耗：$parameter1$愤怒","-1","0","0",,"4127","1","","牧师史诗技能，令神之意志降临凡世，将脚下的土地化为神国。“轻唤神名，我必允你为王！”","使全体队友在2回合内免疫1次死亡，濒死瞬间回复生命值为生命上限的5%。使用后虚弱休息1回合，休息状态下双防降低。","8","使全体队友在2回合内免疫1次死亡，濒死瞬间回复生命值为生命上限的5%。使用后虚弱休息1回合，休息状态下双防降低。","使全体队友在2回合内免疫1次死亡，濒死瞬间回复生命值为生命上限的15%。使用后虚弱休息1回合，休息状态下双防降低。","使全体队友在2回合内免疫1次死亡，濒死瞬间回复生命值为生命上限的25%。使用后虚弱休息1回合，休息状态下双防降低。","使全体队友在2回合内免疫1次死亡，濒死瞬间回复生命值为生命上限的35%。使用后虚弱休息1回合，休息状态下双防降低。","使全体队友在2回合内免疫1次死亡，濒死瞬间回复生命值为生命上限的35%。使用后虚弱休息1回合，休息状态下双防降低。","使全体队友在2回合内免疫1次死亡，濒死瞬间回复生命值为生命上限的35%。使用后虚弱休息1回合，休息状态下双防降低。","使全体队友在2回合内免疫1次死亡，濒死瞬间回复生命值为生命上限的35%。使用后虚弱休息1回合，休息状态下双防降低。","回复生命系数5%","回复生命系数15%","回复生命系数25%","回复生命系数35%","回复生命系数35%","回复生命系数35%","回复生命系数35%","回复生命系数35%","1","2","3","4","5","6","7"
"177006","风暴轰击","绝技","萨满祭司史诗技能，召唤强大的自然力量，粉碎敌人的意志和身体。“嘘！静静的感受自然元素的轻歌”","321","120","0","0","消耗：$parameter1$愤怒","-1","0","0",,"480","1","","萨满祭司史诗技能，召唤强大的自然力量，粉碎敌人的意志和身体。“嘘！静静的感受自然元素的轻歌”","强力法术攻击敌方2个单位，血量越少伤害越高，最高为正常闪电箭伤害的150%。使用后虚弱休息1回合，休息状态下双防降低。","8","强力法术攻击敌方2个单位，血量越少伤害越高，最高为正常闪电箭伤害的150%。使用后虚弱休息1回合，休息状态下双防降低。","强力法术攻击敌方2个单位，血量越少伤害越高，最高为正常闪电箭伤害的150%。使用后虚弱休息1回合，休息状态下双防降低。","强力法术攻击敌方2个单位，血量越少伤害越高，最高为正常闪电箭伤害的150%。使用后虚弱休息1回合，休息状态下双防降低。","强力法术攻击敌方2个单位，血量越少伤害越高，最高为正常闪电箭伤害的150%。使用后虚弱休息1回合，休息状态下双防降低。","强力法术攻击敌方2个单位，血量越少伤害越高，最高为正常闪电箭伤害的150%。使用后虚弱休息1回合，休息状态下双防降低。","强力法术攻击敌方2个单位，血量越少伤害越高，最高为正常闪电箭伤害的150%。使用后虚弱休息1回合，休息状态下双防降低。","强力法术攻击敌方2个单位，血量越少伤害越高，最高为正常闪电箭伤害的150%。使用后虚弱休息1回合，休息状态下双防降低。","最高为闪电箭伤害的150%","所有技能达到70级 最高为闪电箭伤害的160%","可打击三个目标 最高为闪电箭伤害的170%","最高为闪电箭伤害的180%","最高为闪电箭伤害的180%","最高为闪电箭伤害的180%","最高为闪电箭伤害的180%","最高为闪电箭伤害的180%","1","2","3","4","5","6","7"
"178006","杀戮盛筵","绝技","盗贼史诗技能，给敌人沉痛的最后一击，干脆利落、不给对手任何喘息的机会。“稍纵即逝的寒光闪过，缤纷的血花漫天绽放”","330","120","0","0","消耗：$parameter1$愤怒","-1","0","0",,"480","1","","盗贼史诗技能，给敌人沉痛的最后一击，干脆利落、不给对手任何喘息的机会。“稍纵即逝的寒光闪过，缤纷的血花漫天绽放”","对敌方单位随机发动7连击，除首目标外每下独立随机目标，伤害系数为正常伤害的50%，每消耗一颗星追加两次连击，最多使用3个连击点，使用后虚弱休息1回合，虚弱休息状态下双防降低","8","对敌方单位随机发动7连击，除首目标外每下独立随机目标，伤害系数为正常伤害的50%，每消耗一颗星追加两次连击，最多使用3个连击点，使用后虚弱休息1回合，虚弱休息状态下双防降低","对敌方单位随机发动7连击，除首目标外每下独立随机目标，伤害系数为正常伤害的50%，每消耗一颗星追加两次连击，最多使用3个连击点，使用后虚弱休息1回合，虚弱休息状态下双防降低","对敌方单位随机发动7连击，除首目标外每下独立随机目标，伤害系数为正常伤害的50%，每消耗一颗星追加两次连击，最多使用3个连击点，使用后虚弱休息1回合，虚弱休息状态下双防降低","对敌方单位随机发动7连击，除首目标外每下独立随机目标，伤害系数为正常伤害的50%，每消耗一颗星追加两次连击，最多使用3个连击点，使用后虚弱休息1回合，虚弱休息状态下双防降低","对敌方单位随机发动7连击，除首目标外每下独立随机目标，伤害系数为正常伤害的50%，每消耗一颗星追加两次连击，最多使用3个连击点，使用后虚弱休息1回合，虚弱休息状态下双防降低","对敌方单位随机发动7连击，除首目标外每下独立随机目标，伤害系数为正常伤害的50%，每消耗一颗星追加两次连击，最多使用3个连击点，使用后虚弱休息1回合，虚弱休息状态下双防降低","对敌方单位随机发动7连击，除首目标外每下独立随机目标，伤害系数为正常伤害的50%，每消耗一颗星追加两次连击，最多使用3个连击点，使用后虚弱休息1回合，虚弱休息状态下双防降低","每次攻击造成50%伤害","每次攻击造成55%伤害","每次攻击造成60%伤害","每次攻击造成65%伤害","每次攻击造成65%伤害","每次攻击造成65%伤害","每次攻击造成65%伤害","每次攻击造成65%伤害","1","2","3","4","5","6","7"
